Date,Open,High,Low,Close,Adj Close,Volume
01-01-2023,16547.91406,16630.43945,16521.23438,16625.08008,16625.08008,9244361700
02-01-2023,16625.50977,16759.34375,16572.22852,16688.4707,16688.4707,12097775227
03-01-2023,16688.84766,16760.44727,16622.37109,16679.85742,16679.85742,13903079207
04-01-2023,16680.20508,16964.58594,16667.76367,16863.23828,16863.23828,18421743322
05-01-2023,16863.47266,16884.02148,16790.2832,16836.73633,16836.73633,13692758566
06-01-2023,16836.47266,16991.99414,16716.42188,16951.96875,16951.96875,14413662913
07-01-2023,16952.11719,16975.01758,16914.19141,16955.07813,16955.07813,7714767174
08-01-2023,16954.14648,17091.14453,16924.05078,17091.14453,17091.14453,9768827914
09-01-2023,17093.99219,17389.95703,17093.99219,17196.55469,17196.55469,18624736866
10-01-2023,17192.94922,17484.7207,17162.99023,17446.29297,17446.29297,15808338949
11-01-2023,17446.35938,17934.89648,17337.99414,17934.89648,17934.89648,18372283782
12-01-2023,18117.59375,19030.08789,17995.20313,18869.58789,18869.58789,34971338710
13-01-2023,18868.90625,19964.32227,18753.16406,19909.57422,19909.57422,29225029694
14-01-2023,19910.53711,21075.14258,19907.82813,20976.29883,20976.29883,38967784639
15-01-2023,20977.48438,20993.74805,20606.98633,20880.79883,20880.79883,19298407543
16-01-2023,20882.22461,21360.875,20715.74609,21169.63281,21169.63281,26792494050
17-01-2023,21175.83398,21438.66016,20978.5332,21161.51953,21161.51953,24999983362
18-01-2023,21161.05078,21564.50195,20541.54492,20688.78125,20688.78125,30005625418
19-01-2023,20686.74609,21163.01172,20685.38086,21086.79297,21086.79297,21152848261
20-01-2023,21085.37305,22692.35742,20919.12695,22676.55273,22676.55273,28799154319
21-01-2023,22677.42773,23282.34766,22511.83398,22777.625,22777.625,32442278429
22-01-2023,22777.98633,23056.73047,22387.90039,22720.41602,22720.41602,24746386230
23-01-2023,22721.08789,23126.48633,22654.30469,22934.43164,22934.43164,26518700512
24-01-2023,22929.62695,23134.01172,22549.74414,22636.46875,22636.46875,26405069715
25-01-2023,22639.26758,23722.09961,22406.07617,23117.85938,23117.85938,30685366709
26-01-2023,23108.95508,23237.07813,22911.37305,23032.77734,23032.77734,26357839322
27-01-2023,23030.7168,23417.7207,22654.59375,23078.72852,23078.72852,25383335641
28-01-2023,23079.96484,23165.89648,22908.8457,23031.08984,23031.08984,14712928379
29-01-2023,23031.44922,23919.89063,22985.07031,23774.56641,23774.56641,27423687259
30-01-2023,23774.64844,23789.34766,22657.58203,22840.13867,22840.13867,27205595568
31-01-2023,22840.79688,23225.02148,22765.56836,23139.2832,23139.2832,22837828665
01-02-2023,23137.83594,23764.53906,22877.75,23723.76953,23723.76953,26683255504
02-02-2023,23720.82422,24167.21094,23468.5957,23471.87109,23471.87109,32066936882
03-02-2023,23469.41211,23678.10352,23279.95508,23449.32227,23449.32227,27083066007
04-02-2023,23446.32031,23556.94922,23291.79492,23331.84766,23331.84766,15639298538
05-02-2023,23332.24805,23423.43555,22841.75977,22955.66602,22955.66602,19564262605
06-02-2023,22954.02148,23119.2793,22692.02539,22760.10938,22760.10938,23825006542
07-02-2023,22757.26758,23310.97461,22756.25781,23264.29102,23264.29102,27187964471
08-02-2023,23263.41602,23367.95898,22731.09766,22939.39844,22939.39844,25371367758
09-02-2023,22946.56641,22996.4375,21773.97461,21819.03906,21819.03906,32572572185
10-02-2023,21819.00586,21941.18555,21539.39258,21651.18359,21651.18359,27078406594
11-02-2023,21651.8418,21891.41016,21618.44922,21870.875,21870.875,16356226232
12-02-2023,21870.90234,22060.99414,21682.82813,21788.20313,21788.20313,17821046406
13-02-2023,21787,21898.41406,21460.08789,21808.10156,21808.10156,23918742607
14-02-2023,21801.82227,22293.14063,21632.39453,22220.80469,22220.80469,26792596581
15-02-2023,22220.58594,24307.8418,22082.76953,24307.8418,24307.8418,32483312909
16-02-2023,24307.34961,25134.11719,23602.52344,23623.47461,23623.47461,39316664596
17-02-2023,23621.2832,24924.04102,23460.75586,24565.60156,24565.60156,41358451255
18-02-2023,24565.29688,24798.83594,24468.37305,24641.27734,24641.27734,19625427158
19-02-2023,24640.02734,25093.05469,24327.64258,24327.64258,24327.64258,25555105670
20-02-2023,24336.62305,25020.45898,23927.91016,24829.14844,24829.14844,28987376573
21-02-2023,24833.04883,25126.85156,24200.36328,24436.35352,24436.35352,31252098714
